,Currency,Name,Units per HKD,HKD per unit,Date
0,USD,US Dollar,0.1288530959,7.760775888,2021-04-23
1,EUR,Euro,0.1067722926,9.365725655,2021-04-23
2,GBP,British Pound,0.09306162133,10.74556821,2021-04-23
3,INR,Indian Rupee,9.659975989,0.103519926,2021-04-23
4,AUD,Australian Dollar,0.1664989034,6.006045564,2021-04-23
5,CAD,Canadian Dollar,0.1610056648,6.210961593,2021-04-23
6,SGD,Singapore Dollar,0.1710671178,5.845658784,2021-04-23
7,CHF,Swiss Franc,0.1179380446,8.479028151,2021-04-23
8,MYR,Malaysian Ringgit,0.5295160444,1.888516902,2021-04-23
9,JPY,Japanese Yen,13.90917889,0.07189497009,2021-04-23
10,CNY,Chinese Yuan Renminbi,0.836997266,1.194747033,2021-04-23
11,NZD,New Zealand Dollar,0.1794643347,5.572137783,2021-04-23
12,THB,Thai Baht,4.048490687,0.2470056318,2021-04-23
13,HUF,Hungarian Forint,38.78884787,0.02578060589,2021-04-23
14,AED,Emirati Dirham,0.4732129948,2.113213312,2021-04-23
15,HKD,Hong Kong Dollar,1.0,1.0,2021-04-23
16,MXN,Mexican Peso,2.558252419,0.3908918418,2021-04-23
17,ZAR,South African Rand,1.840801092,0.5432417465,2021-04-23
18,PHP,Philippine Peso,6.222375809,0.1607103188,2021-04-23
19,SEK,Swedish Krona,1.082963474,0.9233921768,2021-04-23
20,IDR,Indonesian Rupiah,1871.030737,0.0005344647634,2021-04-23
21,BRL,Brazilian Real,0.7085925338,1.411248288,2021-04-23
22,SAR,Saudi Arabian Riyal,0.4831991097,2.069540237,2021-04-23
23,TRY,Turkish Lira,1.077203399,0.9283297853,2021-04-23
24,KES,Kenyan Shilling,13.98623548,0.07149886771,2021-04-23
25,KRW,South Korean Won,143.8551135,0.006951438677,2021-04-23
26,EGP,Egyptian Pound,2.022874164,0.4943461228,2021-04-23
27,IQD,Iraqi Dinar,188.4062622,0.005307679206,2021-04-23
28,NOK,Norwegian Krone,1.071262027,0.9334784348,2021-04-23
29,KWD,Kuwaiti Dinar,0.03879313292,25.77775819,2021-04-23
30,RUB,Russian Ruble,9.666682134,0.1034481103,2021-04-23
31,DKK,Danish Krone,0.7939534694,1.259519655,2021-04-23
32,PKR,Pakistani Rupee,19.78777007,0.05053626541,2021-04-23
33,ILS,Israeli Shekel,0.4195867256,2.383297514,2021-04-23
34,PLN,Polish Zloty,0.4868331894,2.054091672,2021-04-23
35,QAR,Qatari Riyal,0.4690252692,2.132081288,2021-04-23
36,XAU,Gold Ounce,7.250566285e-05,13792.02618,2021-04-23
37,OMR,Omani Rial,0.04954401539,20.18407253,2021-04-23
38,COP,Colombian Peso,469.8096252,0.002128521738,2021-04-23
39,CLP,Chilean Peso,91.95009435,0.01087546464,2021-04-23
40,TWD,Taiwan New Dollar,3.618685038,0.2763434755,2021-04-23
41,ARS,Argentine Peso,11.99907728,0.08333974157,2021-04-23
42,CZK,Czech Koruna,2.757042378,0.3627075188,2021-04-23
43,VND,Vietnamese Dong,2967.290581,0.0003370077762,2021-04-23
44,MAD,Moroccan Dirham,1.147450486,0.8714972996,2021-04-23
45,JOD,Jordanian Dinar,0.09135684501,10.94608729,2021-04-23
46,BHD,Bahraini Dinar,0.04844876407,20.6403614,2021-04-23
47,XOF,CFA Franc,70.03803274,0.01427795672,2021-04-23
48,LKR,Sri Lankan Rupee,25.06854839,0.03989062249,2021-04-23
49,UAH,Ukrainian Hryvnia,3.600156777,0.2777656813,2021-04-23
50,NGN,Nigerian Naira,49.02827507,0.02039639369,2021-04-23
51,TND,Tunisian Dinar,0.3508461361,2.850252282,2021-04-23
52,UGX,Ugandan Shilling,464.1157249,0.002154635032,2021-04-23
53,RON,Romanian Leu,0.5256990119,1.902229179,2021-04-23
54,BDT,Bangladeshi Taka,10.93061639,0.09148614903,2021-04-23
55,PEN,Peruvian Sol,0.4857758193,2.058562737,2021-04-23
56,GEL,Georgian Lari,0.444535153,2.249540881,2021-04-23
57,XAF,Central African CFA Franc BEAC,70.03803274,0.01427795672,2021-04-23
58,FJD,Fijian Dollar,0.2634364893,3.795981349,2021-04-23
59,VEF,Venezuelan Bolívar,32250811060.0,3.10069e-11,2021-04-23
60,VES,Venezuelan Bolívar,322508.1106,3.100697214e-06,2021-04-23
61,BYN,Belarusian Ruble,0.3303261468,3.027311067,2021-04-23
62,HRK,Croatian Kuna,0.8082664197,1.237215818,2021-04-23
63,UZS,Uzbekistani Som,1355.379995,0.0007378004718,2021-04-23
64,BGN,Bulgarian Lev,0.208828453,4.788619489,2021-04-23
65,DZD,Algerian Dinar,17.1336565,0.05836465787,2021-04-23
66,IRR,Iranian Rial,5416.160296,0.0001846326448,2021-04-23
67,DOP,Dominican Peso,7.331920553,0.1363899121,2021-04-23
68,ISK,Icelandic Krona,16.14524254,0.06193775024,2021-04-23
